
0.0625	 1.68943e-10	
0.1875	 2.24608e-09	
0.3125	 5.34864e-09	
0.4375	 8.77048e-09	
0.5625	 1.02511e-08	
0.6875	 1.18216e-08	
0.8125	 1.46047e-08	
0.9375	 1.41041e-08	
 1.062	  1.1725e-08	
 1.188	 1.14188e-08	
 1.312	 1.48387e-08	
 1.438	 2.06256e-08	
 1.562	 2.87843e-08	
 1.688	 3.64147e-08	
 1.812	 4.37251e-08	
 1.938	 4.87331e-08	
 2.062	 5.33527e-08	
 2.188	 5.62113e-08	
 2.312	 5.86411e-08	
 2.438	 6.13411e-08	
 2.562	 6.27153e-08	
 2.688	 6.31708e-08	
 2.812	 6.35505e-08	
 2.938	 6.28372e-08	
 3.062	 6.10035e-08	
 3.188	 6.07225e-08	
 3.312	 5.90934e-08	
 3.438	  5.8058e-08	
 3.562	 5.61811e-08	
 3.688	 5.59156e-08	
 3.812	 5.37605e-08	
 3.938	 5.16113e-08	
 4.062	 5.00324e-08	
 4.188	  4.8721e-08	
 4.312	 4.74014e-08	
 4.438	  4.4954e-08	
 4.562	 4.24033e-08	
 4.688	 4.16751e-08	
 4.812	 4.17916e-08	
 4.938	 3.96492e-08	
 5.062	  3.8797e-08	
 5.188	 3.76807e-08	
 5.312	  3.5898e-08	
 5.438	  3.4041e-08	
 5.562	 3.38824e-08	
 5.688	 3.24042e-08	
 5.812	 3.18008e-08	
 5.938	 2.87005e-08	
 6.062	 2.76156e-08	
 6.188	 2.87439e-08	
 6.312	  2.5047e-08	
 6.438	  2.5465e-08	
 6.562	 2.28787e-08	
 6.688	 2.26873e-08	
 6.812	 2.30837e-08	
 6.938	 2.16656e-08	
 7.062	 1.92484e-08	
 7.188	 2.11569e-08	
 7.312	 1.95797e-08	
 7.438	 2.03278e-08	
 7.562	 1.89603e-08	
 7.688	 1.69164e-08	
 7.812	 1.80657e-08	
 7.938	 1.82316e-08	
   8.5	 1.25609e-07	
   9.5	  1.0116e-07	
    11	 1.65115e-07	
    13	 1.15007e-07	
    15	  9.3832e-08	
    17	 6.99629e-08	
    19	 4.52976e-08	
    25	 8.46791e-08	
    35	 1.26424e-08	
    45	  1.9358e-09	
    55	 3.10828e-10	
    65	 4.42384e-11	
    75	 3.05193e-12	
    85	 4.97835e-13	
    95	  9.6085e-15	
   105	           0	
----------------------
Total:	 3.01685e-06	
