
0.0625	     1.05492	
0.1875	     7.20377	
0.3125	     16.3175	
0.4375	      55.277	
0.5625	     72.4136	
0.6875	     97.6409	
0.8125	     105.822	
0.9375	     107.959	
 1.062	     152.884	
 1.188	     186.576	
 1.312	     212.591	
 1.438	     237.873	
 1.562	     256.362	
 1.688	     291.438	
 1.812	     301.224	
 1.938	     333.035	
 2.062	     333.825	
 2.188	     389.078	
 2.312	     410.363	
 2.438	     424.523	
 2.562	     425.447	
 2.688	     439.548	
 2.812	     456.771	
 2.938	     515.857	
 3.062	     518.366	
 3.188	     578.492	
 3.312	     602.598	
 3.438	     665.945	
 3.562	     718.868	
 3.688	     781.433	
 3.812	     746.052	
 3.938	     816.593	
 4.062	     843.514	
 4.188	     860.907	
 4.312	     902.557	
 4.438	     903.145	
 4.562	     897.081	
 4.688	      984.14	
 4.812	     993.874	
 4.938	     986.403	
 5.062	     940.475	
 5.188	     997.337	
 5.312	     1045.77	
 5.438	     1079.73	
 5.562	     1057.83	
 5.688	     1112.32	
 5.812	     1186.09	
 5.938	     1162.99	
 6.062	     1133.61	
 6.188	      1213.9	
 6.312	     1192.59	
 6.438	     1124.19	
 6.562	     1158.46	
 6.688	     1187.42	
 6.812	     1128.79	
 6.938	     1059.74	
 7.062	      1129.7	
 7.188	     1187.32	
 7.312	     1054.94	
 7.438	     1075.19	
 7.562	     1104.24	
 7.688	     1155.19	
 7.812	     1141.76	
 7.938	     1154.11	
   8.5	     10121.4	
   9.5	     14268.1	
    11	     28202.4	
    13	     20381.3	
    15	     14607.1	
    17	     9651.08	
    19	     6222.24	
    25	     10889.7	
    35	     1460.42	
    45	       175.8	
    55	      11.966	
    65	    0.340096	
    75	           0	
    85	           0	
    95	           0	
   105	           0	
----------------------
Total:	      161407	
